date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:10:37	9496/9496	---M--	200	added ('OK')	image/png	etag:%225761df1-2518-51895180d0320%22	http://weaintplastic.com/assets/img/favicons/android-icon-192x192.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/favicons/android-icon-192x192.png	(from http://weaintplastic.com/)
12:10:38	1761/1761	---M--	200	added ('OK')	image/png	etag:%2257622f0-6e1-518951827ce8f%22	http://weaintplastic.com/assets/img/favicons/favicon-32x32.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/favicons/favicon-32x32.png	(from http://weaintplastic.com/)
12:10:38	5279/5279	---M--	200	added ('OK')	image/png	etag:%2257622f1-149f-51895182a3f91%22	http://weaintplastic.com/assets/img/favicons/favicon-96x96.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/favicons/favicon-96x96.png	(from http://weaintplastic.com/)
12:10:38	1177/1177	---M--	200	added ('OK')	image/png	etag:%2257622ef-499-5189518255d8e%22	http://weaintplastic.com/assets/img/favicons/favicon-16x16.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/favicons/favicon-16x16.png	(from http://weaintplastic.com/)
12:10:39	720/720	---M-Z	200	added ('OK')	application/json	etag:%2257622f3-2d0-51895182a10b1%22	http://weaintplastic.com/assets/img/favicons/manifest.json	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/favicons/manifest.json	(from http://weaintplastic.com/)
12:10:39	7797/7797	---M--	200	added ('OK')	image/png	etag:%2257622f5-1e75-51895182fecb4%22	http://weaintplastic.com/assets/img/favicons/ms-icon-144x144.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/favicons/ms-icon-144x144.png	(from http://weaintplastic.com/)
12:10:39	4190/4190	---M--	200	added ('OK')	image/png	etag:%225761dfa-105e-518b2582c3636%22	http://weaintplastic.com/assets/img/sharing.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/sharing.png	(from http://weaintplastic.com/)
12:10:51	150938/150938	---M-Z	200	added ('OK')	text/css	etag:%225760f6a-24d9a-518b46814c9f0%22	http://weaintplastic.com/assets/css/styles.min.css	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/css/styles.min.css	(from http://weaintplastic.com/)
12:10:53	4250/4250	---M-Z	200	added ('OK')	application/javascript	etag:%22576231e-109a-518b255def925%22	http://weaintplastic.com/assets/js/respond.min.js	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/js/respond.min.js	(from http://weaintplastic.com/)
12:10:53	11133/11133	---M-Z	200	added ('OK')	application/javascript	etag:%22576231b-2b7d-518b255c99c59%22	http://weaintplastic.com/assets/js/modernizr.min.js	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/js/modernizr.min.js	(from http://weaintplastic.com/)
12:10:53	2409/2409	---M--	200	added ('OK')	image/svg+xml	etag:%225761de5-969-518b258073961%22	http://weaintplastic.com/assets/img/logo.svg	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/logo.svg	(from http://weaintplastic.com/)
12:11:07	13199/13199	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202018%2004:11:05%20GMT	http://weaintplastic.com/work/expedia-meeting-market-onboarding	//Mac/Home/Desktop/Web/web234/weaintplastic.com/work/expedia-meeting-market-onboarding.html	(from http://weaintplastic.com/)
12:11:18	225285/225285	---M--	200	added ('OK')	image/png	etag:%225762329-37005-5191b529ed63f%22	http://weaintplastic.com/assets/img/gem-textured.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/gem-textured.png	(from http://weaintplastic.com/)
12:11:18	9744/9744	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202018%2004:11:18%20GMT	http://weaintplastic.com/work/atomic-relaunch	//Mac/Home/Desktop/Web/web234/weaintplastic.com/work/atomic-relaunch.html	(from http://weaintplastic.com/)
12:11:19	9164/9164	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202018%2004:11:18%20GMT	http://weaintplastic.com/work/melanie-daveid-portfolio	//Mac/Home/Desktop/Web/web234/weaintplastic.com/work/melanie-daveid-portfolio.html	(from http://weaintplastic.com/)
12:11:19	6096/6096	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202018%2004:11:19%20GMT	http://weaintplastic.com/work/austria-moments	//Mac/Home/Desktop/Web/web234/weaintplastic.com/work/austria-moments.html	(from http://weaintplastic.com/)
